chromosome	position	size	N	NA19383:coverage	HG02012:coverage	NA18499:coverage	HG03439:coverage	HG02464:coverage	HG03575:coverage	NA19113:coverage	HG03072:coverage	HG02574:coverage	NA18519:coverage	HG03057:coverage	NA19436:coverage	HG03139:coverage	HG02315:coverage	NA19020:coverage	HG02339:coverage	NA19443:coverage	HG02840:coverage	HG03452:coverage	HG01269:coverage	HG02946:coverage	NA19175:coverage	HG03476:coverage	NA18489:coverage	NA18910:coverage	HG03085:coverage	HG03378:coverage	NA19190:coverage	HG03385:coverage	NA18856:coverage	HG01241:coverage	HG03112:coverage	NA19818:coverage	NA18924:coverage	HG03055:coverage	HG03410:coverage	HG02970:coverage	HG03209:coverage	HG03558:coverage	HG03024:coverage	HG02678:coverage	NA19147:coverage	HG01986:coverage	HG03517:coverage	NA20362:coverage	HG01948:coverage	HG04039:coverage	HG02716:coverage	HG02772:coverage	HG01880:coverage	HG03920:coverage	HG01886:coverage	HG03538:coverage	HG01461:coverage	HG02577:coverage	HG02586:coverage	NA19904:coverage	HG02982:coverage	HG01398:coverage	NA19921:coverage	HG03578:coverage	HG03027:coverage	NA19315:coverage	NA18502:coverage	HG02757:coverage	NA18870:coverage	HG02974:coverage	HG03460:coverage	NA19144:coverage	HG03246:coverage	NA20276:coverage	HG00622:coverage	HG00692:coverage	HG00717:coverage	HG01804:coverage	HG02064:coverage	HG02250:coverage	HG02798:coverage	HG03919:coverage	NA18552:coverage	NA18593:coverage	NA18625:coverage	HG00651:coverage	HG02147:coverage	HG02356:coverage	NA18605:coverage	NA19041:coverage	NA19360:coverage	NA19430:coverage	NA19474:coverage	HG02554:coverage	HG02585:coverage	HG01670:coverage	HG02232:coverage	HG02679:coverage	HG03649:coverage	HG03634:coverage	HG04038:coverage	HG02040:coverage	HG04158:coverage	HG03380:coverage	HG01620:coverage	HG02406:coverage	HG03884:coverage	HG03096:coverage	NA19438:coverage	HG01525:coverage	HG00560:coverage	HG01923:coverage	NA12878:coverage	NA20320:coverage	NA20885:coverage	HG03986:coverage	HG04056:coverage	NA18867:coverage	HG02477:coverage	HG01921:coverage	NA12717:coverage	NA12546:coverage	NA19663:coverage	HG03064:coverage	HG03653:coverage	HG02410:coverage	NA19119:coverage	HG01089:coverage	HG01678:coverage	HG01619:coverage	HG01513:coverage	HG01149:coverage	HG02188:coverage	HG02023:coverage	NA18538:coverage	HG02597:coverage	HG02634:coverage	HG04070:coverage	NA07347:coverage	HG02371:coverage	HG02497:coverage	HG04020:coverage	HG02505:coverage	HG01795:coverage	NA18641:coverage	NA19779:coverage	NA18537:coverage	HG03848:coverage	HG03792:coverage	HG02355:coverage	HG03499:coverage	HG01572:coverage	HG00272:coverage	HG03789:coverage	NA20892:coverage	NA18539:coverage	HG01747:coverage	HG00543:coverage	HG03695:coverage	NA19011:coverage	HG00559:coverage	NA20524:coverage	HG03824:coverage	NA19451:coverage	HG02419:coverage	NA18582:coverage	HG01281:coverage	HG00350:coverage	HG01771:coverage	NA19468:coverage	HG02728:coverage	HG04076:coverage	HG01028:coverage	NA18748:coverage	HG00185:coverage	HG02271:coverage	HG00277:coverage	NA20518:coverage	HG00742:coverage	HG00382:coverage	HG00132:coverage	HG03058:coverage	NA20814:coverage	HG00349:coverage	NA21100:coverage	HG00353:coverage	HG01756:coverage	HG01312:coverage	HG02330:coverage	HG00267:coverage	HG03965:coverage	HG03782:coverage	HG00580:coverage	HG03685:coverage	NA21109:coverage	HG01871:coverage	HG03229:coverage	HG02549:coverage	HG03130:coverage	NA19466:coverage	HG03691:coverage	NA12144:coverage	NA19320:coverage
4	144501551	1600	1600	8534.08	16947.2	17438.4	13531.04	14521.92	6268	12348	12452.96	10964.96	17758.4	11126.08	3328	15640.96	18684.8	22505.6	13630.08	37401.6	8315.04	14953.92	14896	18280	8406.08	15406.08	18553.6	10075.04	10984	13383.04	8737.92	9655.04	28120	9964.96	18212.8	29169.6	6814.08	13120	8348.96	13128.96	9760	17144	12996	15108.96	8568	10015.04	20763.2	8380.96	11987.04	13907.04	8491.04	11103.04	10432.96	12700	20561.6	8757.92	5189.92	9265.92	14799.04	8824	22904	10892.96	14234.08	6807.04	18844.8	11424	10472.96	9968	11143.04	9996.96	15220	12616.96	10440.96	6464	13683.04	5612.96	13408	14036.96	6964.96	14168	14540.96	9160.96	11248.96	18336	10176.96	5387.04	7647.04	16638.4	15809.92	23524.8	10355.04	2299.04	7676	18934.4	16153.6	6304.96	11623.04	12468	14372.96	15218.08	14735.04	9755.04	5592	7764	17120	16534.4	14759.04	12616	2720	11812	3960.96	18400	7688	15696.96	17393.6	17158.4	9968.96	15024.96	12731.04	11080.96	8298.08	11693.92	6890.08	17230.4	20153.6	14596	27382.4	9460.96	9467.04	15464.96	8728.96	7606.08	7544.96	10234.08	6878.08	7376	12962.08	13860	22380.8	13597.92	19782.4	10012	10395.04	17064	14236	10473.92	2948	10740	14000.96	14118.08	13015.04	8626.08	4236.96	16121.6	13720.96	4550.08	14992.96	19534.4	10740.96	16731.2	6260	13432.96	13704.96	10106.08	28233.6	18216	14167.04	21420.8	22676.8	6192.96	12871.04	8537.92	17998.4	14611.04	8654.08	22710.4	5442.08	15339.04	13290.08	12887.04	10164.96	14490.08	7920.96	21952	9452.96	17121.6	17204.8	8208.96	15756.96	6407.04	17169.6	10796.96	7396	13209.92	13968	17444.8	13678.08	19190.4	10152	12858.08	5565.92	16592	13087.04
4	144503151	1600	1600	10673.92	10085.92	15178.08	11124	12964	6153.92	10068	10587.04	13592.96	20080	13147.04	5475.04	7000	11485.92	13303.04	9588.96	25459.2	8468	14692	10816	13271.04	11664.96	14281.92	16673.6	12288	14420.96	11956.96	8712.96	7327.04	19220.8	17500.8	12555.04	14768	10545.92	11342.08	9091.04	9960	7251.04	14312	10563.04	17182.4	7023.04	8498.08	14512	8491.04	8942.08	8664.96	16552	12584.96	7545.92	9939.04	21801.6	6279.04	7124.96	9956	17905.6	11139.04	17593.6	9356	20147.2	4764	18316.8	9951.04	7020	11618.08	12529.92	13459.04	14068.96	7185.92	10532	7344	16612.8	5629.92	11056.96	8657.92	5591.04	11015.04	17180.8	6644	9603.04	11376.96	7251.04	3724	9711.04	12316.96	12578.08	14858.08	13171.04	5504	10218.08	11096	16974.4	6115.04	9100	11181.92	14575.04	10885.92	12188.96	7381.92	4039.04	8487.04	11708	8960	19145.6	16907.2	5055.04	12616.96	4427.04	9290.08	8244	9740.96	11887.04	11304.96	10016	19740.8	9328	11419.04	6924	12560.96	5035.04	9660.96	12536	17854.4	21350.4	9448.96	11239.04	10851.04	8773.92	8611.04	4649.92	8660.96	10099.04	9076	14864.96	9096	19052.8	9327.04	10796	7047.04	11896.96	8995.04	11644.96	15548.96	4908	8575.04	11251.04	8662.08	13552.96	8231.04	7060	13456	10756.96	10529.92	10268	15163.04	8924	14564	7911.04	10990.08	11124	6488	19913.6	15058.08	11257.92	11703.04	23630.4	4328	12526.08	6940.96	8827.04	9972	11951.04	13274.08	5216	12900.96	7364.96	10165.92	11611.04	15607.04	8484.96	11512.96	9724	16920	28982.4	6554.08	10321.92	7612	11718.08	10193.92	4995.04	17254.4	11529.92	21612.8	12334.08	13695.04	7271.04	5934.08	7319.04	13187.04	8716.96
4	144504751	1600	1600	10608.32	11560	13518.72	11971.68	15213.6	7566.08	10975.68	17476.8	12412.96	15346.72	13751.68	6116.48	9760.32	8779.04	9635.68	7548.8	16640	10523.2	15236.96	6036.32	15158.08	11683.2	16182.4	18193.6	9990.72	14674.88	12248.96	8023.36	8234.24	21398.4	16697.6	10609.6	11696.8	11207.36	13289.44	13511.2	11754.72	8887.52	16268.8	10364.32	16278.4	7429.28	10715.52	16518.4	10752.48	10190.4	7924.8	18171.2	12628.64	10540.48	9731.84	28144	9015.68	9635.68	11255.52	20504	12263.84	12885.12	11659.84	22561.6	4299.52	23187.2	9469.28	8691.52	12668.16	16969.6	16251.2	13316.48	8832	10423.36	6152.16	17236.8	6473.92	8376	6499.84	9507.52	10331.04	17556.8	10349.44	8230.56	10841.28	11116.16	5803.36	10858.56	9119.2	16523.2	17531.2	13793.6	6893.12	12215.68	11955.68	18192	7552.48	9118.08	15227.04	14784.64	14448	8824.64	11211.04	4384.64	7532.8	10635.36	8478.24	16716.8	16424	5544.48	14202.72	7907.52	8544.8	10793.28	11200	11995.04	13983.36	9071.2	15282.56	12347.68	10051.2	9570.4	12051.84	8771.68	11580.96	12586.72	17433.6	20344	9122.88	10080.8	13190.72	8901.12	9067.52	7354.08	13744.16	12036.96	7566.08	17755.2	8994.72	18172.8	9444.64	5139.04	8924.48	11071.84	9514.88	8164	19932.8	5844	10083.2	11040.96	8499.2	13998.08	9053.92	4886.24	16561.6	9976	9620.96	12210.72	15741.12	9432.32	11069.28	7267.84	13580.32	14858.56	4761.76	24486.4	16824	11971.68	7539.04	19396.8	5307.84	12014.72	8138.08	12099.84	8724.8	9876.16	12729.76	9299.2	13294.24	8251.52	12297.12	15725.12	17040	9063.84	9477.92	11506.88	18057.6	26180.8	12713.76	10058.56	8520.16	13069.92	10245.92	7045.92	17072	6047.52	22913.6	12856.64	15521.76	7647.52	8027.04	7943.36	19190.4	11270.24
4	144506351	1600	1600	12016	12471.04	16049.6	15919.04	16521.6	6436.96	13363.04	13384.96	13695.04	20446.4	16273.6	7780	12649.92	15136	11935.04	12864	20784	12314.08	15884	8328.96	16222.4	11255.04	22182.4	18790.4	13748.96	14368	14344	11648	9851.04	18288	19641.6	15350.08	14746.08	9281.92	12778.08	12280	9548.96	8888.96	17846.4	18980.8	14691.04	9626.08	10979.04	13476	9444.96	9995.04	11540	15304.96	15243.04	9544	7844.96	24390.4	12688.96	9072	13597.92	16948.8	15350.08	14507.04	7026.08	23355.2	7804	21889.6	12287.04	6367.04	13452.96	14372	15448	21534.4	9209.92	12036	10008.96	15640	9183.04	13096.96	9444	11507.04	10919.04	16259.2	9062.08	10652	13631.04	8747.04	6385.92	11842.08	12414.08	14284	18980.8	10780	7803.04	14860.96	15958.08	21112	8236	10772.96	10808	16331.2	11896	11214.08	10560.96	4044.96	8862.08	13711.04	11355.04	16545.6	18305.6	8284.96	12243.04	6248	14512.96	10264.96	11987.04	13667.04	19400	11196.96	21590.4	14596	11472.96	12360.96	15955.04	7508	12980	17254.4	14516.96	20523.2	8944	10200.96	14162.08	8429.92	6539.04	5806.08	12196.96	10171.04	8187.04	21886.4	12079.04	22598.4	9652	15560.96	12151.04	11427.04	10673.92	14202.08	13932.96	6760.96	9695.04	10004	8572	14967.04	9523.04	2968	18198.4	13892	8528.96	13352	18377.6	10978.08	14863.04	7429.92	15232.96	15728	9870.08	23043.2	13952.96	11635.04	10824.96	21856	8040	14044.96	9563.04	12448.96	14991.04	16113.6	15463.04	6767.04	12621.92	13078.08	10048.96	13856.96	15435.04	10634.08	14464	9765.92	22142.4	22960	10887.04	11078.08	9587.04	13674.08	12792.96	8251.04	16129.6	12368.96	19811.2	14976.96	14636.96	6754.08	8560	6891.04	16163.2	10667.04
4	144507951	1600	1600	11284	14918.08	17243.2	15325.44	16468.8	7519.2	10011.36	13734.72	15092.16	20616	18518.4	6300.48	12569.92	12937.76	14678.72	9579.2	16121.6	13084	15986.56	9975.2	13032.16	13018.72	17881.6	18555.2	11789.6	18710.4	16622.4	9353.44	9125.44	20846.4	14304.64	16990.4	15750.24	10636.32	12290.08	10638.4	11004.16	7138.88	12894.24	16292.8	14695.36	9189.6	12304.64	13790.72	9853.92	8918.08	11810.4	15996.96	15631.04	9004.16	10184.48	22852.8	8870.4	7482.88	14362.72	22148.8	15799.04	15642.56	7415.52	25120	4157.44	20113.6	10293.28	10153.44	15221.76	12056.96	12961.6	17064	8941.92	13981.28	7383.36	17507.2	10005.12	12141.92	8678.72	9494.24	13686.08	17411.2	13410.4	10355.52	14704.64	6489.12	5545.12	12174.08	10609.28	14076.64	18307.2	11306.72	6539.84	14556.48	15519.2	24403.2	7035.2	13218.72	16860.8	18222.4	17691.2	7282.88	9407.2	5926.4	6184.48	13907.84	10289.12	16505.6	17961.6	9259.04	9732.64	6908.8	12821.76	10355.52	15118.08	11179.2	14713.92	8126.4	24099.2	13815.52	10795.84	9045.6	13254.88	6814.56	12098.4	17160	15126.4	16297.6	8690.08	13647.68	14536.8	8726.4	5043.52	6530.56	11551.36	11019.68	7957.44	16486.4	11244.48	22707.2	9842.56	15286.08	10729.6	8959.52	11337.76	15796.96	15138.88	3879.84	10809.28	10384.48	11165.76	14182.4	8956.48	7654.88	13791.68	11406.24	11852.8	11445.6	19388.8	11353.44	11204.16	7724.32	13453.92	16862.4	10863.2	18348.8	16836.8	10468.32	13175.2	20155.2	5007.2	15549.28	7830.08	12456.96	15112.96	13557.44	14139.84	8658.08	13866.4	9586.56	12350.24	11174.08	14306.72	6654.88	15994.88	8033.12	19107.2	22427.2	8875.68	10752.32	9622.72	14414.56	10111.84	7194.88	20784	10948.16	19084.8	11668.32	14908.8	9543.04	9133.6	5980.32	14966.88	12017.6
4	144509551	1600	1600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	144511151	1600	1600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	144512751	1600	1600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	144514351	1600	1600	9501.6	16044.8	16318.4	15596.48	17414.4	4772.48	11331.84	13081.44	14699.2	18107.2	14032	3573.92	15531.68	12654.4	15104.48	11070.08	23558.4	13717.12	13766.24	11022.88	20315.2	12404.48	18097.6	13394.4	11829.76	12441.76	15025.76	8907.2	9503.52	24590.4	12064	14169.76	20499.2	7315.2	15797.28	12325.76	9918.88	9834.24	18792	17896	15637.92	7261.92	8964.32	18252.8	8198.72	14004.48	9192.64	12243.04	12164.32	10298.72	12044.32	21236.8	10621.44	6270.08	11973.44	15527.68	11497.12	15994.08	6805.44	18041.6	4908.32	15437.12	8606.08	9021.44	15141.92	9708.32	12892.48	18196.8	9584.32	14026.08	5825.28	14441.28	8952.48	10995.36	10025.12	7344.64	16096	14964.8	12359.2	8527.36	18398.4	10961.92	4345.44	11910.4	17472	14561.44	17692.8	12746.88	4750.72	10072.32	12947.68	11638.88	6165.76	11573.92	8938.72	11076	15657.6	10678.4	9330.4	6455.04	9161.12	15665.44	13549.76	15429.28	17220.8	4453.6	9808.64	5732.8	18294.4	8842.24	13420	12975.2	15694.88	10833.92	17088	12123.04	13512.48	8120	10729.6	4404.48	13036.16	23219.2	16228.8	26958.4	7980.32	12433.92	12931.84	11182.24	5044	6846.72	11207.84	7200.96	5429.76	12382.72	13469.12	20355.2	11845.44	15301.28	9629.6	8617.92	12548.16	15246.24	11077.92	2916.64	11597.6	8383.84	10595.84	12154.56	7433.28	6892	17259.2	10562.4	5571.52	14860.48	18707.2	11914.4	15324.96	6874.24	12428	14852.64	7876	21649.6	17683.2	16131.2	12038.4	18507.2	6327.2	16568	8151.52	14128.48	14331.04	8000	17324.8	6468.96	11432.16	10269.12	10204.16	12325.76	11066.24	10424.64	21347.2	5272.32	21363.2	21609.6	10056.64	13423.84	6500.32	15037.6	10560.32	8181.12	16588.8	9716.16	17870.4	13593.12	19497.6	9180.8	8673.12	5998.56	19408	11276.8
4	144515951	1600	1600	9221.44	10739.2	16115.2	15166.08	17152	7730.24	12229.28	12628.96	10537.12	17449.6	14628.8	4708.96	10758.08	11909.44	12762.24	10834.72	15172.8	11172.32	12991.04	11233.28	16702.4	13281.92	14845.28	19212.8	9527.84	14232.32	13476.16	11338.72	7180.64	19897.6	14524.32	13029.92	13841.44	10838.08	14335.68	7045.12	10380.64	10064.16	15797.92	12736.64	16782.4	8851.68	13100.96	15583.68	10581.6	10462.72	8864.96	16376	12314.72	8721.76	11577.44	24988.8	9803.2	9849.76	11047.84	22708.8	15081.76	12268.16	9497.92	23420.8	6408.96	21070.4	9288	9832	13109.76	13993.6	10240.64	16465.6	8762.88	9232.48	7342.72	15780.16	9174.72	12660.16	8740.64	9487.84	13048.64	18400	8289.76	11701.92	15257.12	8500.8	5812.64	12604.64	10984.64	15278.24	14000.32	11143.36	8279.84	11877.28	12723.36	20380.8	6021.44	10621.44	11360.96	16524.8	13900.32	9960.8	10171.84	5533.92	7067.36	13741.6	11543.04	15770.08	18516.8	6390.08	11881.76	6637.6	12868.8	9171.36	13276.32	11928.32	14447.68	8395.36	19806.4	14797.44	13511.68	10140.8	13058.72	4122.72	12183.84	13439.52	16566.4	15601.44	9475.68	9297.92	14184.64	9349.12	8922.72	5787.04	8938.24	11218.88	8018.88	15994.4	10326.24	23374.4	10879.04	11917.28	10494.88	8904.96	9914.24	12896.64	17739.2	6998.4	9049.28	9295.84	8509.6	12989.92	7493.76	4592.32	15080.64	9786.56	11168.96	12027.2	15835.68	11384.32	13911.52	7819.04	11789.6	14555.52	8616.16	20632	15641.44	14404.48	11524.16	22011.2	6038.08	12008.32	7843.52	15736.8	13547.2	13620.48	14397.76	6123.52	12701.12	9285.76	10462.72	13467.36	12621.28	11520.96	11795.2	9999.68	16137.6	24201.6	9381.28	8298.72	7476.96	14417.76	10000.8	7533.6	15598.08	9573.28	24387.2	11295.52	14990.72	7294.88	6056.96	7904.48	13845.92	12111.52
